execution_id,model,time
I-122-6-4,decisionTree,263
I-122-6-4,randomForest,482
I-122-5-3,univariateTS,102998
I-122-5-3,multivariateTS,210375
I-122-5-3,timeDecisionTree,6129
I-122-5-3,timeRandomForest,6951
I-122-5-3,decisionTree,211
I-122-5-3,randomForest,447
I-122-4-2,univariateTS,84307
I-122-4-2,multivariateTS,99507
I-122-4-2,timeDecisionTree,4107
I-122-4-2,timeRandomForest,4916
I-122-4-2,decisionTree,218
I-122-4-2,randomForest,456
I-122-3-1,pivot,4
I-122-3-1,univariateTS,59810
I-122-3-1,multivariateTS,40578
I-122-3-1,timeDecisionTree,2563
I-122-3-1,timeRandomForest,3329
I-122-3-1,decisionTree,212
I-122-3-1,randomForest,448
I-122-2-0,pivot,4
I-122-2-0,univariateTS,40496
I-122-2-0,multivariateTS,15140
I-122-2-0,timeDecisionTree,1398
I-122-2-0,timeRandomForest,1898
I-122-2-0,decisionTree,208
I-122-2-0,randomForest,440
I-120-12-6,pivot,6
I-120-12-6,timeDecisionTree,29386
I-120-12-6,timeRandomForest,31971
I-120-12-6,univariateTS,1869133
I-120-12-6,decisionTree,474
I-120-12-6,randomForest,1012
I-120-12-5,timeDecisionTree,30606
I-120-12-5,timeRandomForest,33114
I-120-12-5,univariateTS,1315149
I-120-12-5,decisionTree,378
I-120-12-5,randomForest,824
I-120-12-4,timeDecisionTree,29666
I-120-12-4,timeRandomForest,32131
I-120-12-4,univariateTS,1288056
I-120-12-4,decisionTree,348
I-120-12-4,randomForest,758
I-120-12-3,timeDecisionTree,32357
I-120-12-3,timeRandomForest,34823
I-120-12-3,univariateTS,983126
I-120-12-3,decisionTree,318
I-120-12-3,randomForest,811
I-120-12-2,timeDecisionTree,29963
I-120-12-2,timeRandomForest,32163
I-120-12-2,univariateTS,763951
I-120-12-2,decisionTree,287
I-120-12-2,randomForest,617
I-120-12-1,timeDecisionTree,30730
I-120-12-1,timeRandomForest,33403
I-120-12-1,univariateTS,591892
I-120-12-1,decisionTree,262
I-120-12-1,randomForest,548
I-120-12-0,timeDecisionTree,30109
I-120-12-0,timeRandomForest,32143
I-120-12-0,univariateTS,338240
I-120-12-0,decisionTree,229
I-120-12-0,randomForest,484
Cimice-113-Test2,pivot,1
Cimice-113-Test2,univariateTS,35
Cimice-113-Test2,timeDecisionTree,17
Cimice-113-Test2,timeRandomForest,16
Cimice-113-Test2,decisionTree,1
Cimice-113-Test2,randomForest,1
Foodmart-4,pivot,1
Foodmart-4,univariateTS,42788
Foodmart-4,timeDecisionTree,559
Foodmart-4,timeRandomForest,820
Foodmart-4,decisionTree,240
Foodmart-4,randomForest,496
Foodmart-3,pivot,1
Foodmart-3,univariateTS,94011
Foodmart-3,timeDecisionTree,549
Foodmart-3,timeRandomForest,785
Foodmart-3,decisionTree,223
Foodmart-3,randomForest,461
Foodmart-2,decisionTree,308
Foodmart-2,randomForest,543
Foodmart-1,pivot,1
Foodmart-1,univariateTS,56558
Foodmart-1,timeDecisionTree,601
Foodmart-1,timeRandomForest,867
Foodmart-1,decisionTree,254
Foodmart-1,randomForest,520
555e42ad-f28a-47fc-9e4c-b6bea88a7ace,pivot,1
555e42ad-f28a-47fc-9e4c-b6bea88a7ace,univariateTS,35
ca952138-7cca-4a1c-ade6-5262cbf25bd2,pivot,1
ca952138-7cca-4a1c-ade6-5262cbf25bd2,univariateTS,38
ca952138-7cca-4a1c-ade6-5262cbf25bd2,timeDecisionTree,17
ca952138-7cca-4a1c-ade6-5262cbf25bd2,timeRandomForest,16
ca952138-7cca-4a1c-ade6-5262cbf25bd2,decisionTree,1
ca952138-7cca-4a1c-ade6-5262cbf25bd2,randomForest,1
Cimice-117-3,pivot,4
Cimice-117-3,univariateTS,43
Cimice-117-3,timeDecisionTree,19
Cimice-117-3,timeRandomForest,19
Cimice-117-3,decisionTree,2
Cimice-117-3,randomForest,2
Cimice-117-2,pivot,4
Cimice-117-2,univariateTS,39
Cimice-117-2,timeDecisionTree,19
Cimice-117-2,timeRandomForest,18
Cimice-117-2,decisionTree,2
Cimice-117-2,randomForest,2
Cimice-117-1,pivot,4
Cimice-117-1,univariateTS,38
Cimice-117-1,timeDecisionTree,19
Cimice-117-1,timeRandomForest,18
Cimice-117-1,decisionTree,2
Cimice-117-1,randomForest,2
Cimice-117-0,pivot,4
Cimice-117-0,univariateTS,28342
Cimice-117-0,timeDecisionTree,624
Cimice-117-0,timeRandomForest,821
Cimice-117-0,decisionTree,204
Cimice-117-0,randomForest,426
Cimice-119-2,pivot,5
Cimice-119-2,univariateTS,31947
Cimice-119-2,multivariateTS,67527
